journal,unit,year,count,topics
1616: Anuario de Literatura Comparada,College of Arts and Sciences,2012,1,[]
2D MATERIALS,College of Engineering,2015,2,"[Materials Science, Multidisciplinary]"
A I I E Transactions,College of Engineering,1982,1,[]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1981,2,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1982,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1983,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1984,2,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1985,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1986,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1987,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1989,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1990,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1991,4,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1993,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,1996,1,[Energy]
Aapg Bulletin-American Association of Petroleum Geologists,College of Engineering,2003,1,[Energy]
Abstracts of Papers of the American Chemical Society,College of Engineering,1980,1,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1982,3,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1984,2,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Arts and Sciences,1984,1,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1985,2,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1986,3,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1987,2,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1988,6,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1989,4,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1990,7,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1991,6,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1992,6,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1993,10,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1994,7,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Agriculture and Life Sciences,1994,1,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1995,13,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1996,10,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1997,11,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1998,8,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,1999,13,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,2000,19,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,2001,14,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,2002,11,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Agriculture and Life Sciences,2002,1,"[Chemistry, Multidisciplinary]"
Abstracts of Papers of the American Chemical Society,College of Engineering,2003,17,"[Chemistry, Multidisciplinary]"
