date,value
1961-03-02T00:00:00-05:00,2
1962-03-02T00:00:00-05:00,1
1963-03-02T00:00:00-05:00,1
1964-03-02T00:00:00-05:00,2
1965-03-02T00:00:00-05:00,4
1966-03-02T00:00:00-05:00,9
1967-03-02T00:00:00-05:00,10
1968-03-02T00:00:00-05:00,10
1969-03-02T00:00:00-05:00,12
1970-03-02T00:00:00-05:00,16
1971-03-02T00:00:00-05:00,24
1972-03-02T00:00:00-05:00,21
1973-03-02T00:00:00-05:00,31
1974-03-02T00:00:00-05:00,26
1975-03-02T00:00:00-05:00,49
1976-03-02T00:00:00-05:00,58
1977-03-02T00:00:00-05:00,74
1978-03-02T00:00:00-05:00,99
1979-03-02T00:00:00-05:00,108
1980-03-02T00:00:00-05:00,115
1981-03-02T00:00:00-05:00,147
1982-03-02T00:00:00-05:00,154
1983-03-02T00:00:00-05:00,180
1984-03-02T00:00:00-05:00,199
1985-03-02T00:00:00-05:00,207
1986-03-02T00:00:00-05:00,249
1987-03-02T00:00:00-05:00,258
1988-03-02T00:00:00-05:00,272
1989-03-02T00:00:00-05:00,295
1990-03-02T00:00:00-05:00,321
1991-03-02T00:00:00-05:00,371
1992-03-02T00:00:00-05:00,392
1993-03-02T00:00:00-05:00,358
1994-03-02T00:00:00-05:00,406
1995-03-02T00:00:00-05:00,411
1996-03-02T00:00:00-05:00,388
1997-03-02T00:00:00-05:00,461
1998-03-02T00:00:00-05:00,466
1999-03-02T00:00:00-05:00,489
2000-03-02T00:00:00-05:00,566
2001-03-02T00:00:00-05:00,615
2002-03-02T00:00:00-05:00,645
2003-03-02T00:00:00-05:00,688
2004-03-02T00:00:00-05:00,818
2005-03-02T00:00:00-05:00,847
2006-03-02T00:00:00-05:00,876
2007-03-02T00:00:00-05:00,963
2008-03-02T00:00:00-05:00,932
2009-03-02T00:00:00-05:00,948
2010-03-02T00:00:00-05:00,1028
2011-03-02T00:00:00-05:00,1101
2012-03-02T00:00:00-05:00,1163
2013-03-02T00:00:00-05:00,1134
2014-03-02T00:00:00-05:00,1130
2015-03-02T00:00:00-05:00,926
2016-03-02T00:00:00-05:00,473
2017-03-02T00:00:00-05:00,50
