journal,count
Proceedings of the National Academy of Sciences of the United States of America,120
The Journal of biological chemistry,113
Nature,108
Science (New York N.Y.),107
Journal of Food Science,87
Genetics,81
Water Resources Research,78
Applied and Environmental Microbiology,76
The Journal of cell biology,71
Cell,69
Journal of Dairy Science,66
Journal of Geophysical Research-Space Physics,66
Plant Physiology,65
Journal of bacteriology,63
Molecular and Cellular Biology,63
Molecular Biology and Evolution,62
The Journal of nutrition,61
Biotechnology and Bioengineering,59
GEOPHYSICAL RESEARCH LETTERS,58
Applied Physics Letters,57
HortScience,57
American Journal of Botany,55
Ecology,55
Biochemistry,54
Journal of Agricultural and Food Chemistry,54
Biophysical Journal,53
Physical review letters,53
The EMBO journal,53
The Journal of chemical physics,53
Journal of Molecular Biology,52
Evolution; international journal of organic evolution,51
Nucleic Acids Research,51
The Journal of Finance,51
TRANSACTIONS OF THE ASAE,51
Molecular Biology of the Cell,50
Journal of the American Chemical Society,49
Journal of Animal Science,48
Environmental Science & Technology,47
Environmental Entomology,46
Journal of Applied Physics,46
Limnology and Oceanography,45
Crop Science,44
Journal of Economic Entomology,44
Journal of the American Society for Horticultural Science,44
Journal of virology,44
The American Naturalist,44
Management Science,43
Phytopathology,43
Oecologia,42
Plant Disease,42
Postharvest Biology and Technology,42
American Journal of Clinical Nutrition,40
Animal Behaviour,40
FOOD TECHNOLOGY,39
The Astrophysical Journal,39
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,38
Journal of Chemical Ecology,38
Physics of Fluids,38
PLoS One 6,38
The Auk,38
Journal of Fluid Mechanics,37
Operations Research,37
Abstracts of Papers of the American Chemical Society,36
The journal of physical chemistry. B,36
American Economic Review,35
Analytical Chemistry,35
Optics Letters,35
Soil Science Society of America Journal,35
TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,35
The Journal of experimental biology,35
II INTERNATIONAL SYMPOSIUM ON TOMATO DISEASES,34
Journal of Food Protection,34
Proceedings of the Royal Society B: Biological Sciences,34
Biogeochemistry,33
Biotechnology progress,33
Canadian Journal of Fisheries and Aquatic Science,33
Journal of Hydrology,33
The Journal of neuroscience : the official journal of the Society for Neuroscience,33
American Journal of Enology and Viticulture,32
CHEMISTRY OF MATERIALS,32
Journal of cell science,32
Journal of the American Statistical Association,32
Molecular Ecology,32
Review of Financial Studies,32
Agronomy Journal,31
Behavioral Ecology and Sociobiology,31
CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE,31
Annals of Botany,30
Ecological Applications,30
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,30
Food Chemistry,30
Oikos: A Journal of Ecology,30
Physical Review B,30
Planta,30
The Review of scientific instruments,30
Wildlife Society Bulletin,30
IEEE TRANSACTIONS ON POWER SYSTEMS,29
Journal of Neurophysiology,29
Journal of Theoretical Biology,29
Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures,29
Nano Letters,29
New Phytologist,29
Stochastic Processes and their Applications,29
THE PLANT CELL ONLINE,29
Trends in Ecology and Evolution,29
Annals of the New York Academy of Sciences,28
Current biology : CB,28
Developmental biology,28
Journal of Water Resources Planning and Management-Asce,28
Magnetic Resonance in Medicine,28
Phytochemistry,28
Appetite,27
Behavioral ecology : official journal of the International Society for Behavioral Ecology,27
Ecology Letters,27
Genome research,27
Geochimica Et Cosmochimica Acta,27
JOURNAL OF FINANCIAL ECONOMICS,27
MACROMOLECULES,27
Molecular Microbiology,27
Molecular plant-microbe interactions : MPMI,27
Bioscience,26
Entomologia Experimentalis et Applicata,26
Geology,26
Insect Biochemistry and Molecular Biology,26
Journal of Climate,26
Journal of Experimental Botany,26
Journal of Insect Physiology,26
Langmuir : the ACS journal of surfaces and colloids,26
Molecular cell,26
PLoS genetics,26
Transactions of the American Fisheries Society,26
Biology of Reproduction,25
IEEE Electron Device Letters,25
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,25
Physiology & Behavior,25
The Annals of Applied Probability,25
The Plant journal : for cell and molecular biology,25
Advances in Applied Probability,24
Agriculture Ecosystems & Environment,24
Animal Feed Science and Technology,24
Ecosystems,24
HortTechnology,24
IEEE Transactions on Signal Processing,24
Journal of Environmental Quality,24
Journal of Marketing Research,24
Monthly Weather Review,24
Nature genetics,24
Plant and Soil,24
Poultry Science,24
Virology,24
AiChe Journal,23
Biochemical And Biophysical Research Communications,23
Journal of Financial and Quantitative Analysis (JFQA),23
Journal of Invertebrate Pathology,23
Physical Review D,23
Physical review. E Statistical nonlinear and soft matter physics,23
The Condor,23
The Journal of animal ecology,23
ATMOSPHERIC ENVIRONMENT,22
Behavioral Neuroscience,22
Biological Control,22
IEEE TRANSACTIONS ON INFORMATION THEORY,22
Journal of Applied Mechanics-Transactions of the Asme,22
Journal of Food Engineering,22
Mathematical Finance,22
Molecular Phylogenetics and Evolution,22
Monthly Notices of the Royal Astronomical Society (MNRAS),22
Physical review. B Condensed matter,22
Water Research,22
Advanced materials (Deerfield Beach Fla.),21
Agribusiness,21
Current Opinion in Cell Biology,21
Endocrinology,21
Genes & development,21
Heredity (Edinb),21
IEEE Transactions on Electron Devices,21
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,21
Journal of Vacuum Science & Technology A: Vacuum Surfaces and Films,21
Lab on a chip,21
MARKETING SCIENCE,21
Nature Materials,21
Pesticide Biochemistry and Physiology,21
Plant molecular biology,21
Polymer,21
Society and Natural Resources,21
The American Journal of Human Genetics,21
Applied microbiology and biotechnology,20
Applied Optics,20
Bernoulli,20
BMC Genomics,20
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,20
Developmental Cell,20
Euphytica,20
Febs Letters,20
Gene,20
Journal of Comparative Physiology A,20
Philosophical Transactions of the Royal Society B: Biological Sciences,20
Plant Cell and Environment,20
Public Library of Science: Biology,20
Rural Sociology,20
Soil Biology and Biochemistry,20
Surface Science,20
Systematic Botany,20
Annals of the Entomological Society of America,19
Current opinion in plant biology,19
Food Research International,19
Genome,19
Geological Society of America Bulletin,19
Global Change Biology,19
Journal of the American Dietetic Association,19
Marine Ecology Progress Series,19
Nonlinear Dynamics,19
Physiologia Plantarum,19
Review of Derivatives Research,19
The Journal of the Acoustical Society of America,19
World Development,19
Agricultural and Resource Economics Review,18
Agricultural Finance Review,18
Canadian Journal of Botany-Revue Canadienne De Botanique,18
Current Opinion in Biotechnology,18
Earth and Planetary Science Letters,18
Environmental Microbiology,18
Environmental pollution (Barking Essex : 1987),18
Forest Ecology and Management,18
Ieee Transactions on Automatic Control,18
International Journal of Fracture,18
Journal of Aquatic Food Product Technology,18
Journal of Crystal Growth,18
Journal of Evolutionary Biology,18
Journal of Extension,18
Journal of mammalogy,18
M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,18
Methods in Enzymology Vol 469: Biophysical Chemical and Functional Probes of Rna Structure Interactions and Folding Pt B,18
Molecular and General Genetics MGG,18
Obesity,18
Optics express,18
Physical review. A Atomic molecular and optical physics,18
Plant Pathology,18
Radio Science,18
Tectonics,18
The Economic Journal,18
The Journal of general virology,18
Tree Physiology,18
AGRICULTURAL AND FOREST METEOROLOGY,17
Angewandte Chemie (International ed. in English),17
Annual review of entomology,17
Atmospheric Chemistry and Physics,17
Bone,17
Brain Research,17
Canadian Journal of Zoology,17
Chemical communications (Cambridge England),17
General and comparative endocrinology,17
Hydrological Processes,17
Ibis,17
Journal of Computational and Graphical Statistics,17
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,17
Journal of Great Lakes Research,17
Microbiology (Reading England),17
Mycologia,17
North American Journal of Fisheries Management,17
Physical Review Special Topics-Accelerators and Beams,17
Soil Science,17
The Journal of heredity,17
The Nucleus (Methods in Molecular Biology),17
Weed Science,17
Biomaterials,16
Biometrics,16
CLADISTICS-THE INTERNATIONAL JOURNAL OF THE WILLI HENNIG SOCIETY,16
Crop Protection,16
Current Genetics,16
Ecological Entomology,16
European Journal of Operational Research,16
Forest Science,16
International journal of obesity : journal of the International Association for the Study of Obesity,16
JOURNAL OF APPLIED PROBABILITY,16
Journal of Banking & Finance,16
Journal of Colloid and Interface Science,16
Journal of Computer-Mediated Communication,16
Journal of Ecology,16
Journal of Food Distribution Research,16
Journal of nutrition education and behavior,16
Journal of Soil and Water Conservation,16
Journal of Supercritical Fluids,16
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,16
Journal of the Mechanics and Physics of Solids,16
Mathematics of Operations Research,16
Microbial Ecology,16
Plant Science,16
Risk analysis : an official publication of the Society for Risk Analysis,16
SMALL GROUP RESEARCH,16
The Quarterly review of biology,16
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,15
Canadian Journal of Plant Science,15
Environmental toxicology and chemistry / SETAC,15
Functional Ecology,15
Geophysical Journal of the Royal Astronomical Society,15
Human Dimensions of Wildlife,15
Hydrobiologia,15
ICARUS,15
JOURNAL OF CONSUMER RESEARCH,15
Journal of Environmental Engineering-Asce,15
Journal of Environmental Horticulture,15
Journal of Field Ornithology,15
Journal of High Energy Physics,15
JOURNAL OF MARKETING,15
Journal of Materials Research,15
Journal of Mathematical Biology,15
Marine Biology,15
Nature Biotechnology,15
Nature Scientific Reports,15
New Zealand Journal of Crop and Horticultural Science,15
Scientia Horticulturae,15
The Accounting Review,15
Agricultural Economics,14
Analytical and Bioanalytical Chemistry,14
APPLIED ECONOMICS,14
Biochimica et Biophysica Acta (BBA) - Bioenergetics,14
Biological Conservation,14
Biometrika,14
Biotechnology Letters,14
Development (Cambridge England),14
Ecological Modelling,14
Ecological Monographs,14
FEMS microbiology letters,14
Field Crops Research,14
Finance Research Letters,14
Food Policy,14
Food Quality and Preference,14
Industrial & Engineering Chemistry Research,14
Insect Molecular Biology,14
Journal of Accounting Research,14
Journal of Medical Entomology,14
JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,14
Molecular Breeding,14
PHYSICS OF PLASMAS,14
Plant Cell Reports,14
Protoplasma,14
Reproduction (Cambridge England),14
Structure (London England : 1993),14
The American journal of tropical medicine and hygiene,14
The American Midland Naturalist,14
The Annals of Probability,14
The Journal of Lipid Research,14
The Journal of Physical Chemistry C,14
Trends in Plant Science,14
Water Air and Soil Pollution,14
Aapg Bulletin-American Association of Petroleum Geologists,13
ACS nano,13
Agriculture and Human Values,13
Agroforestry Systems,13
American Journal of Public Health,13
Analytical Biochemistry,13
Biochimica et Biophysica Acta (BBA) - Biomembranes,13
Biology Letters,13
Bioresource Technology,13
Biosensors and Bioelectronics,13
Canadian Entomologist,13
Chemosphere,13
Climatic Change,13
Conservation Biology,13
Die Naturwissenschaften,13
Ethology,13
Experientia,13
Frontiers in Ecology and the Environment,13
Functional Plant Biology,13
Genome biology,13
Geochemistry Geophysics Geosystems,13
Geomicrobiology Journal,13
Global Biogeochemical Cycles,13
International Journal of Electrical Power & Energy Systems,13
INTERNATIONAL JOURNAL OF PLANT SCIENCES,13
International Journal of Solids and Structures,13
Journal of African Economies,13
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,13
Journal of Clinical Microbiology,13
Journal of Economic Theory,13
Journal of Geophysical Research-Atmospheres,13
Journal of Guidance Control and Dynamics,13
Journal of Molecular Evolution,13
Journal of South American Earth Sciences,13
Journal of the American Water Resources Association,13
Journal of The Electrochemical Society,13
Nanotechnology,13
Nature communications,13
Nature methods,13
Nature structural & molecular biology,13
OPERATIONS RESEARCH LETTERS,13
Plant Cell Tissue and Organ Culture,13
PRODUCTION AND OPERATIONS MANAGEMENT,13
Review of Agricultural Economics,13
Sah S. Loewenstein G. & Cain D. (2013). The Burden of Disclosure: Increased Compliance with Distrusted Advice. Journal of Personality and Social Psychology,13
Small (Weinheim an der Bergstrasse Germany),13
Soft Matter,13
Taxon,13
Transgenic Research,13
Trends in Cell Biology,13
VITIS,13
ACTA MATERIALIA,12
Agricultural Systems,12
Annual Review of Fluid Mechanics,12
Annual review of phytopathology,12
Applied Engineering in Agriculture,12
Aquacultural Engineering,12
Archives of Biochemistry and Biophysics,12
Biomacromolecules,12
Biomass and Bioenergy,12
BMC Evolutionary Biology,12
CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE,12
Copeia,12
Critical reviews in food science and nutrition,12
Current Opinion in Genetics and Development,12
Ecography,12
ECOLOGY AND SOCIETY,12
Economics Letters,12
European Journal of Plant Pathology,12
FEMS microbiology ecology,12
Finance and Development,12
Foodborne Pathogens and Disease,12
Genetics Research,12
