Sex,Ratio,Age,Affected,Total
0,1,2,1,33
0,1,3,,53
0,1,4,1,50
0,1,5,1,53
0,1,6,5,43
0,1,7,7,47
0,1,8,7,47
0,1,9,3,37
0,1,10,7,42
0,1,11,6,38
0,1,12,11,53
0,1,13,6,29
0,1,14,4,41
0,1,15,3,35
0,1,16,4,38
0,1,17,4,37
0,2,2,1,88
0,2,3,2,71
0,2,4,3,98
0,2,5,4,87
0,2,6,7,83
0,2,7,10,93
0,2,8,6,89
0,2,9,8,75
0,2,10,18,93
0,2,11,14,80
0,2,12,18,82
0,2,13,7,89
0,2,14,5,78
0,2,15,15,91
0,2,16,11,94
0,2,17,10,68
0,3,2,1,91
0,3,3,,77
0,3,4,2,75
0,3,5,2,92
0,3,6,11,96
0,3,7,5,74
0,3,8,10,82
0,3,9,8,59
0,3,10,7,74
0,3,11,12,66
0,3,12,10,94
0,3,13,10,83
0,3,14,14,88
0,3,15,10,101
0,3,16,10,91
0,3,17,7,75
0,4,2,,63
0,4,3,,55
0,4,4,1,65
0,4,5,2,65
0,4,6,4,70
0,4,7,4,63
0,4,8,4,51
0,4,9,10,75
0,4,10,8,60
0,4,11,9,65
0,4,12,6,63
0,4,13,8,63
0,4,14,10,67
0,4,15,13,69
0,4,16,11,73
0,4,17,8,62
0,5,2,,55
0,5,3,1,47
0,5,4,2,52
0,5,5,2,60
0,5,6,1,53
0,5,7,3,48
0,5,8,3,44
0,5,9,9,44
0,5,10,14,76
0,5,11,6,55
0,5,12,5,47
0,5,13,9,44
0,5,14,7,50
0,5,15,6,72
0,5,16,7,66
0,5,17,6,59
0,6,2,,41
0,6,3,,55
0,6,4,1,62
0,6,5,2,49
0,6,6,1,44
0,6,7,3,49
0,6,8,7,38
0,6,9,2,43
0,6,10,5,61
0,6,11,10,59
0,6,12,4,43
0,6,13,6,49
0,6,14,2,51
0,6,15,1,60
0,6,16,4,57
0,6,17,10,64
0,7,2,,44
0,7,3,,45
0,7,4,1,47
0,7,5,,37
0,7,6,,37
0,7,7,6,40
0,7,8,2,44
0,7,9,1,34
