Sex,Ratio,Age,Affected,Total
0,1,2,,33
0,1,3,3,53
0,1,4,,50
0,1,5,,53
0,1,6,,43
0,1,7,,47
0,1,8,1,47
0,1,9,,37
0,1,10,,42
0,1,11,1,38
0,1,12,4,53
0,1,13,,29
0,1,14,1,41
0,1,15,,35
0,1,16,,38
0,1,17,3,37
0,2,2,,88
0,2,3,1,71
0,2,4,4,98
0,2,5,1,87
0,2,6,1,83
0,2,7,,93
0,2,8,3,89
0,2,9,2,75
0,2,10,6,93
0,2,11,2,80
0,2,12,2,82
0,2,13,2,89
0,2,14,3,78
0,2,15,2,91
0,2,16,2,94
0,2,17,1,68
0,3,2,1,91
0,3,3,,77
0,3,4,,75
0,3,5,1,92
0,3,6,3,96
0,3,7,3,74
0,3,8,2,82
0,3,9,5,59
0,3,10,3,74
0,3,11,3,66
0,3,12,5,94
0,3,13,1,83
0,3,14,,88
0,3,15,2,101
0,3,16,1,91
0,3,17,2,75
0,4,2,1,63
0,4,3,,55
0,4,4,,65
0,4,5,2,65
0,4,6,,70
0,4,7,2,63
0,4,8,1,51
0,4,9,1,75
0,4,10,1,60
0,4,11,3,65
0,4,12,2,63
0,4,13,2,63
0,4,14,3,67
0,4,15,2,69
0,4,16,3,73
0,4,17,2,62
0,5,2,1,55
0,5,3,2,47
0,5,4,1,52
0,5,5,2,60
0,5,6,2,53
0,5,7,,48
0,5,8,,44
0,5,9,2,44
0,5,10,3,76
0,5,11,4,55
0,5,12,,47
0,5,13,1,44
0,5,14,,50
0,5,15,2,72
0,5,16,1,66
0,5,17,3,59
0,6,2,,41
0,6,3,1,55
0,6,4,1,62
0,6,5,,49
0,6,6,,44
0,6,7,,49
0,6,8,,38
0,6,9,2,43
0,6,10,2,61
0,6,11,,59
0,6,12,2,43
0,6,13,1,49
0,6,14,1,51
0,6,15,1,60
0,6,16,1,57
0,6,17,2,64
0,7,2,,44
0,7,3,1,45
0,7,4,,47
0,7,5,,37
0,7,6,1,37
0,7,7,1,40
0,7,8,,44
0,7,9,2,34
0,7,10,1,33
0,7,11,,34
0,7,12,,45
0,7,13,,41
0,7,14,1,56
0,7,15,1,46
0,7,16,2,47
0,7,17,,59
0,8,2,,34
0,8,3,1,33
0,8,4,,28
0,8,5,1,27
0,8,6,1,41
0,8,7,,28
0,8,8,,36
0,8,9,,21
0,8,10,4,37
0,8,11,1,31
0,8,12,1,48
0,8,13,1,35
0,8,14,,36
0,8,15,1,43
0,8,16,1,44
0,8,17,,53
0,9,2,,18
0,9,3,,23
0,9,4,,25
0,9,5,,24
0,9,6,1,38
0,9,7,2,30
0,9,8,,22
0,9,9,2,29
0,9,10,,28
0,9,11,,32
0,9,12,1,33
0,9,13,,28
0,9,14,,37
0,9,15,1,37
0,9,16,,39
0,9,17,1,41
0,10,2,,22
0,10,3,,19
0,10,4,,17
0,10,5,,17
0,10,6,2,19
0,10,7,,13
0,10,8,,18
0,10,9,,29
0,10,10,,22
0,10,11,1,18
0,10,12,2,22
0,10,13,,26
0,10,14,,18
0,10,15,,31
0,10,16,1,33
0,10,17,,32
0,11,2,1,108
0,11,3,1,85
0,11,4,2,95
0,11,5,2,98
0,11,6,,93
0,11,7,2,80
0,11,8,3,80
0,11,9,5,95
0,11,10,1,101
0,11,11,2,102
0,11,12,4,118
0,11,13,3,134
0,11,14,5,128
0,11,15,5,134
0,11,16,1,131
0,11,17,1,134
1,1,2,0,22
1,1,3,0.11,28
1,1,4,0,27
1,1,5,0,29
1,1,6,0,25
1,1,7,0,24
1,1,8,0.04,24
1,1,9,0,15
1,1,10,0,23
1,1,11,0.05,22
1,1,12,0.1,31
1,1,13,0,15
1,1,14,0.06,17
1,1,15,0,18
1,1,16,0,14
1,1,17,0.12,17
1,2,2,0,41
1,2,3,0.03,37
1,2,4,0.08,48
1,2,5,0.02,46
1,2,6,0.02,45
1,2,7,0,47
1,2,8,0.07,44
1,2,9,0.03,31
1,2,10,0.13,45
1,2,11,0.04,45
1,2,12,0.03,40
1,2,13,0.05,42
1,2,14,0.07,43
1,2,15,0.03,38
1,2,16,0.02,51
1,2,17,0,41
1,3,2,0,44
1,3,3,0,43
1,3,4,0,37
1,3,5,0.02,43
1,3,6,0.06,48
