Sex,Ratio,Age,Affected,Total
0,1,0,,
0,1,1,,
0,1,2,,
0,1,3,3,53
0,1,4,2,50
0,1,5,3,53
0,1,6,5,43
0,1,7,5,47
0,1,8,5,47
0,1,9,3,37
0,1,10,5,42
0,1,11,5,38
0,1,12,10,53
0,1,13,5,29
0,1,14,2,41
0,1,15,3,35
0,1,16,4,38
0,1,17,5,37
0,2,0,,
0,2,1,,
0,2,2,,
0,2,3,3,71
0,2,4,6,98
0,2,5,5,87
0,2,6,9,83
0,2,7,8,93
0,2,8,7,89
0,2,9,4,75
0,2,10,14,93
0,2,11,14,80
0,2,12,17,82
0,2,13,8,89
0,2,14,8,78
0,2,15,11,91
0,2,16,9,94
0,2,17,11,68
0,3,0,,
0,3,1,,
0,3,2,,
0,3,3,4,77
0,3,4,2,75
0,3,5,5,92
0,3,6,7,96
0,3,7,6,74
0,3,8,6,82
0,3,9,12,59
0,3,10,9,74
0,3,11,12,66
0,3,12,14,94
0,3,13,8,83
0,3,14,11,88
0,3,15,8,101
0,3,16,3,91
0,3,17,8,75
0,4,0,,
0,4,1,,
0,4,2,,
0,4,3,1,55
0,4,4,2,65
0,4,5,3,65
0,4,6,2,70
0,4,7,5,63
0,4,8,,51
0,4,9,6,75
0,4,10,9,60
0,4,11,6,65
0,4,12,5,63
0,4,13,6,63
0,4,14,13,67
0,4,15,6,69
0,4,16,10,73
0,4,17,6,62
0,5,0,,
0,5,1,,
0,5,2,,
0,5,3,,47
0,5,4,2,52
0,5,5,2,60
0,5,6,1,53
0,5,7,3,48
0,5,8,5,44
0,5,9,2,44
0,5,10,14,76
0,5,11,3,55
0,5,12,3,47
0,5,13,2,44
0,5,14,2,50
0,5,15,5,72
0,5,16,8,66
0,5,17,2,59
0,6,0,,
0,6,1,,
0,6,2,,
0,6,3,2,55
0,6,4,1,62
0,6,5,,49
0,6,6,3,44
0,6,7,,49
0,6,8,2,38
0,6,9,4,43
0,6,10,3,61
0,6,11,5,59
0,6,12,3,43
0,6,13,4,49
0,6,14,4,51
0,6,15,1,60
0,6,16,7,57
0,6,17,6,64
0,7,0,,
0,7,1,,
0,7,2,,
0,7,3,2,45
0,7,4,,47
0,7,5,,37
0,7,6,1,37
0,7,7,2,40
0,7,8,2,44
0,7,9,1,34
0,7,10,4,33
0,7,11,1,34
0,7,12,4,45
0,7,13,3,41
0,7,14,4,56
0,7,15,,46
0,7,16,7,47
0,7,17,6,59
0,8,0,,
0,8,1,,
0,8,2,,
0,8,3,,33
0,8,4,1,28
0,8,5,,27
0,8,6,,41
0,8,7,1,28
0,8,8,1,36
0,8,9,,21
0,8,10,4,37
0,8,11,1,31
0,8,12,3,48
0,8,13,4,35
0,8,14,2,36
0,8,15,5,43
0,8,16,1,44
0,8,17,4,53
0,9,0,,
0,9,1,,
0,9,2,,
0,9,3,,23
0,9,4,,25
0,9,5,,24
0,9,6,1,38
0,9,7,3,30
0,9,8,2,22
0,9,9,3,29
0,9,10,2,28
0,9,11,,32
0,9,12,2,33
0,9,13,4,28
0,9,14,3,37
0,9,15,3,37
0,9,16,3,39
0,9,17,3,41
0,10,0,,
0,10,1,,
0,10,2,,
0,10,3,1,19
0,10,4,,17
0,10,5,,17
0,10,6,2,19
0,10,7,1,13
0,10,8,1,18
0,10,9,1,29
0,10,10,1,22
0,10,11,3,18
0,10,12,3,22
0,10,13,1,26
0,10,14,1,18
0,10,15,6,31
0,10,16,1,33
0,10,17,3,32
0,11,0,,
0,11,1,,
0,11,2,,
0,11,3,2,85
0,11,4,2,95
0,11,5,,98
0,11,6,,93
0,11,7,5,80
0,11,8,2,80
0,11,9,11,95
0,11,10,5,101
0,11,11,7,102
0,11,12,3,118
0,11,13,14,134
0,11,14,11,128
0,11,15,11,134
0,11,16,8,131
0,11,17,7,134
1,1,0,,
1,1,1,,
1,1,2,,
1,1,3,3,28
1,1,4,2,27
1,1,5,2,29
1,1,6,2,25
1,1,7,3,24
1,1,8,3,24
1,1,9,2,15
1,1,10,4,23
1,1,11,5,22
1,1,12,8,31
1,1,13,2,15
1,1,14,1,17
1,1,15,1,18
1,1,16,2,14
1,1,17,2,17
1,2,0,,
1,2,1,,
1,2,2,,
1,2,3,2,37
1,2,4,4,48
1,2,5,3,46
1,2,6,3,45
1,2,7,4,47
1,2,8,5,44
1,2,9,2,31
1,2,10,11,45
1,2,11,7,45
1,2,12,9,40
1,2,13,4,42
1,2,14,5,43
1,2,15,7,38
1,2,16,8,51
1,2,17,9,41
1,3,0,,
1,3,1,,
1,3,2,,
1,3,3,1,43
1,3,4,,37
1,3,5,4,43
1,3,6,4,48
1,3,7,4,36
1,3,8,5,38
1,3,9,10,37
1,3,10,6,31
1,3,11,7,32
1,3,12,7,40
1,3,13,3,37
1,3,14,7,50
1,3,15,6,52
1,3,16,3,47
1,3,17,6,42
1,4,0,,
1,4,1,,
1,4,2,,
1,4,3,1,28
1,4,4,2,35
1,4,5,2,36
1,4,6,2,36
1,4,7,2,25
1,4,8,,28
1,4,9,4,36
1,4,10,6,32
1,4,11,6,38
