datetime,discharge,gauge_height,water_velocity
10/28/08,215500,8,1
10/29/08,258364.5833,7.239583333,1
10/30/08,246041.6667,7.291666667,1
10/31/08,243364.5833,7.364583333,1
11/1/08,242510.4167,7.333333333,1
11/2/08,230135.4167,7.479166667,0.979166667
11/3/08,232395.8333,7.489583333,1
11/4/08,228041.6667,7.5625,1
11/5/08,234947.9167,7.541666667,1
11/6/08,237347.3684,7.631578947,1
11/7/08,256552.0833,7.75,1
11/8/08,258770.8333,7.989583333,1
11/9/08,261145.8333,7.96875,1
11/10/08,242010.6383,7.627659574,1
11/11/08,239729.1667,7.708333333,1
11/12/08,236770.8333,7.875,0.989583333
11/13/08,236093.75,7.8125,0.864583333
11/14/08,233010.4167,7.958333333,0.833333333
11/15/08,293343.75,7.489583333,1.354166667
11/16/08,268895.8333,7.104166667,1.125
11/17/08,252437.5,6.989583333,1
11/18/08,245500,7.21875,1
11/19/08,240812.5,7.145833333,1
11/20/08,231812.5,7,1
11/21/08,244312.5,7.03125,1
11/22/08,233416.6667,7.03125,1
11/23/08,227760.4167,7.239583333,1
11/24/08,220302.0833,7.4375,1
11/25/08,238333.3333,7.260416667,0.96875
11/26/08,222833.3333,7.364583333,0.947916667
11/27/08,211177.0833,7.21875,0.760416667
11/28/08,216218.75,7.333333333,0.833333333
11/29/08,216416.6667,7.489583333,0.885416667
11/30/08,259625,7.5,0.989583333
12/1/08,277166.6667,7.15625,1.020833333
12/2/08,254531.25,6.520833333,1
12/3/08,228541.6667,6.802083333,1
12/4/08,239229.1667,6.96875,1
12/5/08,236810.5263,7,1
12/6/08,235302.0833,7,1
12/7/08,240187.5,6.989583333,1
12/8/08,213052.0833,7.302083333,0.947916667
12/9/08,204843.75,7.645833333,0.739583333
12/10/08,261729.1667,7.53125,1.072916667
12/11/08,284083.3333,7.21875,1.208333333
12/12/08,296343.75,7.072916667,1.3125
12/13/08,298666.6667,7.541666667,1.322916667
12/14/08,312729.1667,7.9375,1.385416667
12/15/08,325760.4167,7.916666667,1.458333333
12/16/08,331250,7.895833333,1.489583333
12/17/08,330979.1667,7.916666667,1.520833333
12/18/08,330864.5833,7.979166667,1.416666667
12/19/08,345673.6842,8,1.694736842
12/20/08,361187.5,8,1.916666667
12/21/08,405145.8333,8.145833333,2
12/22/08,405947.9167,8.302083333,2
12/23/08,423979.1667,8.520833333,2
12/24/08,452802.0833,8.979166667,2
12/25/08,467989.5833,8.708333333,2.125
12/26/08,462343.75,8.9375,2
12/27/08,472708.3333,9.020833333,2.010416667
12/28/08,510468.75,9.041666667,2.552083333
12/29/08,515520.8333,9.010416667,2.572916667
12/30/08,503114.5833,9,2.375
12/31/08,534437.5,9.25,2.770833333
1/1/09,537677.0833,9.833333333,2.895833333
1/2/09,543750,10,2.989583333
1/3/09,554156.25,10.01041667,2.958333333
1/4/09,575552.0833,10.32291667,3
1/5/09,606781.25,10.55208333,3
1/6/09,637229.1667,11.28125,3
1/7/09,693750,11.39583333,3.354166667
1/8/09,720520.8333,11.69791667,3.5
1/9/09,721041.6667,12.15625,3.46875
1/10/09,738468.75,12.41666667,3.697916667
1/11/09,780020.8333,12.38541667,3.927083333
1/12/09,719354.1667,12.41666667,3.4375
1/13/09,715947.9167,12.29166667,3.427083333
1/14/09,667385.4167,12,3.052083333
1/15/09,661937.5,11.96875,3.010416667
1/16/09,638854.1667,11.63541667,3
1/17/09,619447.9167,11.32291667,3
1/18/09,636666.6667,11.19791667,3
1/19/09,641395.8333,11.36458333,3
1/20/09,658729.1667,11.26041667,3.03125
1/21/09,631791.6667,11.27083333,3
1/22/09,618114.5833,11.34375,3
1/23/09,616635.4167,11.15625,3
1/24/09,593656.25,11.01041667,3
1/25/09,573354.1667,10.42708333,2.989583333
1/26/09,523083.3333,10.08333333,2.53125
1/27/09,492062.5,9.5625,2.0625
