Post ID,Intl.,Entry type,Campaign Areas,Communities,Tags,Campaigning organizations (private),date,Clean Date (Based on original hiddne column),Actors: Divesters /  Endorsers / Previously Complicit / Not Previously Complicit,growth,Headline,Summary,Case source(s),Link(s) to mainstream media coverage (national or international),City,Countries,World Regions,“Quote” ,Author of Quote ,Affiliation of author,Quote Source,Type of loss,Loss (in millions USD),Photo(s) + source link,Other Multimedia,Imp. Level of Case,Did this success bring about the end of the campaign?,,
,LN,Success,General,Student Solidarity,Faculty ,-,27-09-2016,27-09-2016,Faculty members,1,Over 1000 professors sign petition condemning Canary Mission ,"Over 1000 faculty members from institutions all over the world have signed a petition against Canary Mission, a pro-Israel website that publishes dossiers on pro-Palestinian activists, students and professors alike, particularly those engaged in BDS efforts. ",http://againstcanarymission.org/,http://forward.com/news/350911/1-000-professors-condemn-blacklisting-of-pro-palestinian-activists/,-,-,-,"We reject the McCarthyist tactics used by Canary Mission. Canary Mission’s aim is to damage these students’ futures, and to punish them for their principled human rights activism.",- ,Petition against Canary Mission ,http://againstcanarymission.org/,- ,-,- ,- ,2,0,,
781,LN,Reaction,"General,Academic Boycott",- ,Governmental,-,10-12-2014,10-12-2014,- ,3,Israel’s universities launch new anti-BDS initiative with Hillel,"The Committee of Univeristy Heads in Israel announced its new partnership with Hillel International, the largest Jewish campus organization. The two bodies will coordinate activities with one another to combat the calls of an academic boycott agaisnt Israel. Under the new partnership, Hillel will notify the Committee of any attempt to organize boycotts on the 550 campuses worldwide it is a part of. ",https://www.middleeastmonitor.com/20141210-israels-universities-launch-new-anti-bds-initiative-with-hillel/,http://www.jpost.com/Israel-News/University-heads-partner-with-Hillel-International-to-combat-academic-boycotts-383441,- ,- ,- ,I hope that the cooperation with Hillel will bring about that those calling for boycotts will give up as a minority and will be condemned as those using weapons contrary to their commitment to science,Menahem Ben-Sasson,Chairman of the Committee of University Heads,http://www.jpost.com/Israel-News/University-heads-partner-with-Hillel-International-to-combat-academic-boycotts-383441,-,-,-,-,2,0,,
1058,LN,Success,General,- ,South Africa ,- ,06-08-2016,06-08-2016,Justice for Palestine Brisbane ,1,Justice for Palestine Brisbane activists protest former Queensland premier's speech at Australia Israel Chamber of Commerce event,Justice for Palestine activists in Brisbane disrupted former Queensland premier Peter Beattie's keynote speech at an Australia Israel Chamber of Commerce event. They felt that Beattie endorsing trade relations with Israel was in direct contrast to his arrest 40 years ago for opposing South African aparthied.  ,https://www.greenleft.org.au/node/62367,- ,Brisbane ,Australia ,East Asia and Pacific,-,- ,- ,- ,- ,- ,https://scontent-syd1-1.xx.fbcdn.net/v/t1.0-9/13872947_1778599392420242_2714244754472154454_n.jpg?oh=166e4eb1dc076f29dd5eaa158a049cd6&oe=5857CF0D,-,3,0,,
1072,RF,Success,General,Trade Union,- ,- ,25-08-2016,25-08-2016,Health Services Union ,1 ,Australian Health Services Union backs Israel boycott ,The Victorian Branch of the Health Services Union passed a motion supporting the BDS movement. The motion will be voted on by the wider union at the national executive meeting next month. ,http://www.heraldsun.com.au/news/israel-boycott-backed-by-health-services-union/news-story/615af1cce9d37902f646dc5398a805c1,,Victoria ,Australia ,East Asia and Pacific,"The union movement has a long and proud history of supporting international affairs and being involved in international affairs, including being instrumental in the international campaign against apartheid",Paul Elliott,Victorian branch secretary ,http://www.heraldsun.com.au/news/israel-boycott-backed-by-health-services-union/news-story/615af1cce9d37902f646dc5398a805c1,- ,- ,- ,- ,3,0,,
120,RF,Success,Consumer Boycott,Trade Union,-,-,09-01-2009,09-01-2009,Maritime Union of Australia (MUA),1,Maritime Union of Australia calls for boycott of Israeli ships,"Western Australian members of the Maritime Union call for a boycott of all Israeli-registered vessels and all ships bearing goods arriving from or going to Israel in support of the international campaign of boycotts, divestment, and sanctions.",http://transportworkers.org/node/1525,-,Sydney,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
148,RF,Success,Academic Boycott,-,Faculty,-,26-03-2009,26-03-2009,*Australian Academics,1,Australian academics declare support for BDS,"The academics say that ""as educators and scholars of conscience"" they fully support the call for boycott, divestment and sanctions against Israel, including its universities which are deeply complicit in Palestinian oppression.",https://electronicintifada.net/content/australian-academics-call-boycott-israel/949,lgbt,-,Australia,East Asia and Pacific,"We urge our colleagues, nationally, regionally, and internationally, to stand up against Israel’s ongoing attacks on the rights of Palestinians to education, land, and human dignity, and to support the nonviolent call for academic boycott, disinvestment, and sanctions.",-,Signers of the letter,https://electronicintifada.net/content/australian-academics-call-boycott-israel/949,-,-,-,-,3,0,,
158,RF,Success,Academic Boycott,-,Faculty,-,03-06-2009,03-06-2009,Sydney University Academics,1,Sydney university academics want collaboration with Technion and Haifa Universities halted, Centre for Peace and Conflict Studies Council endorses letter to Sydney University calling for academic boycott.,https://australiansforbds.files.wordpress.com/2014/03/academic-boycott-letter-to-university-of-sydney-from-centre-for-peace-and-conflict-studies-june-2009.pdf,-,Sydney,Australia,East Asia and Pacific,"- This campaign has been organized in recognition of...The complicity of Israeli universities by defending, taking part in or remaining silent over, Israel’s oppression of the Palestinian people;
- The opportunity and responsibility for individuals, institutions and associations globally to apply their own sanctions as a means of raising the social, economic and political cost of a recourse to aggression and abuse.",Jake Lynch,Associate Professor and Director of the Centre of Peace and Conflict Studies,https://australiansforbds.files.wordpress.com/2014/03/academic-boycott-letter-to-university-of-sydney-from-centre-for-peace-and-conflict-studies-june-2009.pdf,-,-,-,-,3,0,,
159,RF,Success,"Sanctions,Divestment",-,Governmental,Palestinian solidarity activists ,09-06-2009,09-06-2009,Victorian State Government,3,"Victoria State Government expels Connex from Melbourne, Australia","After a 4-month boycott campaign led by Australians for Palestine, during which some 100,000 pamphlets were distributed, Connex loses its contract with the Victorian State Government as train system operator for the city of Melbourne, Australia.",https://www.greenleft.org.au/node/41920,-,Melbourne,Australia,East Asia and Pacific,-,-,-,-,Contract not awarded,345.00,-,-,3,0,,
201,RF,Success,General,Trade Union,-,-,17-01-2010,17-01-2010,CFMEU C&G Division – Queensland Branch_,1,CFMEU C&G Division – Queensland Branch shows meaningful support to Palestinians,"The Queensland branch of Construction, Forestry, Mining and Energy Union (CFMEU) of Autralia issues a motion at their delegates convention calling on Israel to take steps towards reaching a meaningful peace with Palestine. The union supports the following steps as necessary to achieving this goal: cessation of illegal settlement building, an end to the destruction of Palestinian homes, an end to the illegal blockade of Gaza, an end to movement restrictions on nearly 4 million Palestinians, an end to discriminatory employment practices, and, lastly, support for nonviolent resistance through BDS. ",https://auspalestine.files.wordpress.com/2010/04/cfmeu-cg-qld-delegates-motion-july-2010.pdf,-,Queensland,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
223,RF,Success,General,Trade Union,-,-,08-04-2010,08-04-2010,LHMU – Queensland Branch,1,Queensland workers union endorses BDS activism after seeing life under Occupation,"A 2010 report published by APHEDA's, the humanitarian aid agency of the Australian Council of Trade Unions, on the situation of life under Occupation causes the Liquor Hospitality & Workers Union of Queensland to join the BDS campaign. A discussion of the report's findings compells the union to call on the Israeli government to remove illegal settlements, bring down the Apartheid Wall, stop the demolition of Palestinian homes, and to generally adhere to international law. The union ends the resolution by expressing their support for a consumer boycott of Israel.",https://auspalestine.files.wordpress.com/2010/04/lhmu-queensland-branch-4-august-2010.pdf,-,Queensland,Australia,East Asia and Pacific,-,-,-,-,-,-,-,-,3,0,,
